Sub-Category,Total Sales,Growth Rate,Sales Volatility,Average Order Value,Cluster,PCA1,PCA2
Art,26705.41,387.1902367365388,330.4883427284576,556.3627083333333,0,-1.895234191755434,-0.594686681690019
Bookcases,113813.1987,261.77216092193,2220.4050797251753,2474.1999717391304,0,-0.23684091933671758,-0.5958847575294026
Envelopes,16128.046,113.44926939699526,228.21868781596007,350.6096956521739,0,-1.998556098830263,-1.009599823164168
Fasteners,3001.96,446.3753213367609,48.74222863268981,63.87148936170213,0,-2.2691829878588625,-0.5586882696141878
Supplies,46420.308,975.4915765652502,2025.0941389159009,1055.0069999999998,0,-1.2087471617898822,0.28598581778841137
Labels,12347.726,522.884727126447,223.47121839221342,257.2442916666667,0,-2.119223341220179,-0.4298084551020634
Furnishings,89212.018,491.6296928576215,1360.0178672616057,1858.5837083333333,0,-0.8628915418545489,-0.31683527081968893
Accessories,164186.7,502.61580644771635,2579.99480907113,3420.55625,1,0.390544660769629,-0.14770969700311326
Machines,189238.631,-95.06621815708512,5603.554746739796,4852.272589743589,1,1.9942158782529,-0.9382219954670726
Copiers,146248.094,122.66812892300824,5500.774390527093,4570.2529375,1,1.5959642503157965,-0.6946371861245906
Binders,200028.785,484.3922957171692,3848.2236478754908,4167.266354166667,1,1.210389320484843,-0.1047164076535478
Chairs,322822.731,257.3908828235069,4407.232959811409,6725.4735625,1,2.8509846376066,-0.1711397702912244
Storage,219343.392,236.8008489125784,2822.0843101166624,4569.6539999999995,1,1.15313437555012,-0.4129580937892701
Phones,327782.44800000003,291.5978232702773,4052.718220520821,6828.801,1,2.7904936831459297,-0.10921911421011182
Appliances,104618.403,1977.5731012860706,1821.6215390281989,2179.5500625,2,-0.7968396681755033,1.848829161680539
Paper,76828.304,1507.598545574746,1024.8249818349852,1600.5896666666667,2,-1.289298133817222,1.1186740360794458
Tables,202810.628,2520.193093093093,3224.082504460717,4225.221416666666,2,0.6910872385127946,2.8306165069100646
